Date,Strategy,Equities_Return(%),Bonds_Return(%),Real_Estate_Return(%),Commodities_Return(%),Cash_Return(%),Equities_Weight(%),Bonds_Weight(%),Real_Estate_Weight(%),Commodities_Weight(%),Cash_Weight(%),Portfolio_Return(%),Portfolio_Volatility(%),SingleAsset_Volatility(%),Sharpe_Ratio
2022-06-03,Growth,11.11,3.29,6.97,6.76,1.6,45,20,20,10,5,7.81,8.59,11.04,0.73
2022-06-06,Income,7.02,4.36,6.76,5.04,0.84,25,40,20,5,10,5.19,3.99,4.82,0.92
2022-06-09,Balanced,14.81,3.64,6.84,3.73,1.83,40,30,15,10,5,8.51,7.76,10.98,0.9
2022-06-12,Growth,8.93,2.35,6.28,1.03,1.63,45,20,20,10,5,5.93,9.7,11.95,0.46
2022-06-15,Growth,5.63,4.31,6.48,3.79,1.34,45,20,20,10,5,5.14,11.17,13.81,0.33
2022-06-18,Balanced,12.62,3.84,7.94,4.57,1.93,40,30,15,10,5,7.94,10.91,15.1,0.59
2022-06-21,Income,8.12,4.67,5.23,1.95,1.79,25,40,20,5,10,5.22,6.5,9.27,0.57
2022-06-24,Conservative,12.19,3.32,6.13,2.65,0.62,20,45,15,5,15,5.08,4.86,6.23,0.74
2022-06-27,Conservative,13.72,1.78,3.75,3.3,0.73,20,45,15,5,15,4.38,4.14,5.48,0.7
2022-06-30,Conservative,9.51,2.96,4.03,3.52,1.86,20,45,15,5,15,4.29,7.84,11.04,0.36
2022-07-03,Income,7.56,1.52,4.76,5.52,1.78,25,40,20,5,10,3.9,11.53,15.29,0.21
2022-07-06,Income,12.6,4.64,5.44,2.64,1.23,25,40,20,5,10,6.35,5.89,8.25,0.82
2022-07-09,Growth,11.69,4.44,7.6,6.88,1.3,45,20,20,10,5,8.42,11.07,15.25,0.63
2022-07-12,Aggressive,4.01,3.0,7.33,2.09,0.89,50,15,15,15,5,3.91,5.27,7.04,0.46
2022-07-15,Conservative,12.13,2.83,6.76,5.99,0.88,20,45,15,5,15,5.15,2.82,3.4,1.29
2022-07-18,Income,3.63,4.83,4.12,1.41,1.94,25,40,20,5,10,3.93,2.4,2.9,1.01
2022-07-21,Balanced,5.39,1.57,3.76,1.76,1.5,40,30,15,10,5,3.44,7.64,9.67,0.25
2022-07-24,Conservative,12.2,2.09,6.04,5.49,0.67,20,45,15,5,15,4.66,10.19,15.18,0.31
2022-07-27,Aggressive,9.94,4.75,5.88,6.45,1.06,50,15,15,15,5,7.58,11.41,14.37,0.53
2022-07-30,Income,11.29,3.7,3.51,5.63,1.78,25,40,20,5,10,5.46,8.0,9.89,0.49
2022-08-02,Income,12.39,2.72,5.14,3.22,1.26,25,40,20,5,10,5.5,5.41,7.87,0.74
2022-08-05,Growth,4.27,4.86,6.18,5.97,1.56,45,20,20,10,5,4.8,6.35,9.02,0.52
2022-08-08,Conservative,10.39,4.72,6.87,3.79,1.74,20,45,15,5,15,5.68,7.92,10.27,0.53
2022-08-11,Balanced,12.97,1.8,7.41,2.46,1.2,40,30,15,10,5,7.15,8.1,10.64,0.7
2022-08-14,Aggressive,8.93,2.64,5.44,3.13,0.89,50,15,15,15,5,6.19,4.8,6.62,0.98
2022-08-17,Conservative,9.67,3.31,3.96,2.45,1.11,20,45,15,5,15,4.31,7.55,9.6,0.37
2022-08-20,Growth,10.75,3.22,6.96,1.56,0.83,45,20,20,10,5,7.07,8.92,11.52,0.62
2022-08-23,Income,7.43,3.44,4.72,6.98,1.33,25,40,20,5,10,4.66,5.52,7.38,0.57
2022-08-26,Conservative,6.02,1.92,3.96,1.72,1.3,20,45,15,5,15,2.94,9.62,12.08,0.15
2022-08-29,Balanced,11.86,2.47,5.95,5.56,1.4,40,30,15,10,5,7.0,11.81,17.12,0.47
2022-09-01,Conservative,5.73,2.13,3.07,4.2,0.91,20,45,15,5,15,2.91,11.74,16.04,0.12
2022-09-04,Balanced,10.65,4.13,3.51,1.07,0.93,40,30,15,10,5,6.18,6.79,8.84,0.69
2022-09-07,Aggressive,6.03,4.52,3.57,1.39,1.24,50,15,15,15,5,4.5,7.77,10.92,0.39
2022-09-10,Balanced,4.79,3.47,4.52,6.96,0.68,40,30,15,10,5,4.37,9.64,13.32,0.3
2022-09-13,Income,5.71,3.33,5.25,3.66,1.79,25,40,20,5,10,4.17,11.9,15.37,0.22
2022-09-16,Income,3.72,4.86,3.5,5.58,1.44,25,40,20,5,10,4.0,4.65,5.69,0.54
2022-09-19,Balanced,5.09,1.76,3.01,3.7,1.39,40,30,15,10,5,3.46,4.91,6.23,0.4
2022-09-22,Conservative,11.44,3.09,6.44,6.54,1.68,20,45,15,5,15,5.22,8.25,11.54,0.45
2022-09-25,Balanced,8.1,3.41,6.24,6.45,1.74,40,30,15,10,5,5.93,2.71,3.39,1.63
2022-09-28,Conservative,10.14,4.38,7.61,3.63,1.2,20,45,15,5,15,5.5,5.04,6.66,0.79
2022-10-01,Conservative,9.01,3.23,3.4,1.24,1.15,20,45,15,5,15,4.0,5.22,6.66,0.48
2022-10-04,Aggressive,5.75,3.86,7.3,4.52,0.53,50,15,15,15,5,5.25,9.65,13.96,0.39
2022-10-07,Income,3.48,4.15,5.35,4.91,1.87,25,40,20,5,10,4.03,3.81,5.24,0.66
2022-10-10,Growth,14.63,3.15,5.04,2.93,0.66,45,20,20,10,5,8.55,3.61,4.78,1.95
2022-10-13,Growth,6.46,4.81,7.07,4.3,1.18,45,20,20,10,5,5.77,5.15,6.68,0.83
2022-10-16,Growth,13.38,4.39,3.01,6.22,1.19,45,20,20,10,5,8.18,2.54,3.44,2.63
2022-10-19,Income,12.08,3.69,6.8,2.22,1.32,25,40,20,5,10,6.1,11.28,15.02,0.41
2022-10-22,Growth,4.46,4.91,6.04,2.44,0.74,45,20,20,10,5,4.48,7.51,10.26,0.4
2022-10-25,Aggressive,5.7,4.44,3.57,6.68,1.47,50,15,15,15,5,5.13,3.54,5.24,1.03
2022-10-28,Conservative,9.11,2.46,7.17,6.88,0.87,20,45,15,5,15,4.48,7.51,9.88,0.4
2022-10-31,Income,9.1,4.58,7.32,2.66,1.69,25,40,20,5,10,5.87,6.15,9.1,0.71
2022-11-03,Income,6.21,1.51,6.63,6.02,1.37,25,40,20,5,10,3.92,8.6,12.55,0.28
2022-11-06,Growth,9.46,2.71,5.76,4.26,1.18,45,20,20,10,5,6.44,5.22,6.56,0.95
2022-11-09,Balanced,9.86,2.32,6.88,1.26,1.62,40,30,15,10,5,5.88,9.05,13.06,0.48
2022-11-12,Growth,14.86,4.27,6.26,1.91,1.95,45,20,20,10,5,9.08,3.26,4.86,2.33
2022-11-15,Conservative,13.44,4.56,5.2,4.16,1.19,20,45,15,5,15,5.91,9.22,12.2,0.48
2022-11-18,Balanced,3.9,4.24,4.33,4.74,1.1,40,30,15,10,5,4.01,2.8,3.64,0.9
2022-11-21,Income,7.56,2.61,6.59,5.56,1.81,25,40,20,5,10,4.71,2.36,2.88,1.36
2022-11-24,Conservative,14.97,4.11,5.17,1.59,1.45,20,45,15,5,15,5.92,10.73,14.3,0.41
2022-11-27,Conservative,13.84,1.66,6.98,2.76,1.06,20,45,15,5,15,4.86,3.46,4.7,0.97
2022-11-30,Income,11.18,2.13,3.88,4.66,1.07,25,40,20,5,10,4.76,8.83,11.91,0.37
2022-12-03,Income,4.72,3.11,4.27,2.53,0.51,25,40,20,5,10,3.46,10.05,14.78,0.2
2022-12-06,Income,4.9,3.05,4.73,4.53,1.46,25,40,20,5,10,3.76,6.24,7.96,0.36
2022-12-09,Conservative,5.39,2.85,5.42,2.42,1.36,20,45,15,5,15,3.5,7.75,11.61,0.26
2022-12-12,Conservative,3.26,4.41,4.98,1.05,1.8,20,45,15,5,15,3.71,9.78,14.59,0.23
2022-12-15,Income,11.94,4.41,7.51,5.65,0.85,25,40,20,5,10,6.62,10.02,12.68,0.51
2022-12-18,Balanced,10.45,3.87,6.6,4.96,1.76,40,30,15,10,5,6.92,8.28,12.18,0.65
2022-12-21,Aggressive,6.71,3.04,5.9,5.39,0.64,50,15,15,15,5,5.54,4.95,7.05,0.82
2022-12-24,Balanced,5.41,4.25,7.38,3.2,1.25,40,30,15,10,5,4.93,4.73,5.91,0.73
2022-12-27,Growth,14.61,2.53,7.35,5.83,1.2,45,20,20,10,5,9.19,2.75,3.92,2.8
2022-12-30,Balanced,13.32,4.03,7.9,6.8,1.71,40,30,15,10,5,8.49,5.66,8.13,1.23
2023-01-02,Aggressive,6.17,1.93,4.84,5.49,0.89,50,15,15,15,5,4.97,5.81,8.08,0.6
2023-01-05,Conservative,4.3,2.32,3.13,6.31,1.34,20,45,15,5,15,2.89,11.15,14.12,0.12
2023-01-08,Aggressive,10.62,3.12,6.51,4.9,0.68,50,15,15,15,5,7.52,2.45,2.97,2.46
2023-01-11,Growth,4.39,2.32,5.69,3.33,1.06,45,20,20,10,5,3.96,11.49,16.19,0.21
2023-01-14,Income,8.03,4.1,3.77,3.49,0.65,25,40,20,5,10,4.64,6.89,9.11,0.46
2023-01-17,Conservative,3.39,2.8,5.22,6.7,1.78,20,45,15,5,15,3.32,2.99,4.2,0.61
2023-01-20,Income,13.82,3.76,3.3,2.66,1.95,25,40,20,5,10,5.95,11.49,16.63,0.39
2023-01-23,Aggressive,10.95,3.75,5.99,1.13,1.68,50,15,15,15,5,7.19,4.44,5.5,1.28
2023-01-26,Income,5.46,4.4,5.77,4.52,1.72,25,40,20,5,10,4.68,4.33,6.2,0.73
2023-01-29,Income,3.03,4.5,3.72,1.78,0.88,25,40,20,5,10,3.48,3.74,5.23,0.53
2023-02-01,Aggressive,4.58,2.75,6.94,4.53,0.52,50,15,15,15,5,4.45,4.65,5.76,0.63
2023-02-04,Growth,9.31,4.11,5.38,5.67,1.27,45,20,20,10,5,6.72,3.09,4.18,1.69
2023-02-07,Income,3.52,4.24,7.33,4.13,1.19,25,40,20,5,10,4.37,11.64,14.18,0.25
2023-02-10,Growth,13.17,2.99,3.54,5.27,1.17,45,20,20,10,5,7.82,10.99,14.25,0.58
2023-02-13,Balanced,3.79,2.46,6.17,4.29,0.99,40,30,15,10,5,3.66,11.95,16.24,0.18
2023-02-16,Growth,9.07,3.01,6.97,1.69,1.48,45,20,20,10,5,6.32,10.78,14.72,0.45
2023-02-19,Balanced,8.16,4.61,5.07,5.96,1.1,40,30,15,10,5,6.06,9.3,12.03,0.49
2023-02-22,Conservative,10.98,2.81,3.76,6.54,0.6,20,45,15,5,15,4.44,10.32,12.67,0.28
2023-02-25,Aggressive,11.94,2.8,3.65,1.36,1.93,50,15,15,15,5,7.24,7.62,10.68,0.75
2023-02-28,Growth,7.24,3.83,6.75,6.21,1.58,45,20,20,10,5,6.07,11.68,16.12,0.39
2023-03-03,Conservative,4.24,3.28,3.77,3.89,1.77,20,45,15,5,15,3.35,5.5,7.52,0.34
2023-03-06,Aggressive,12.15,3.51,7.04,6.07,1.96,50,15,15,15,5,8.67,10.18,14.09,0.7
2023-03-09,Income,3.32,4.75,7.15,2.6,0.77,25,40,20,5,10,4.37,9.03,11.67,0.32
2023-03-12,Conservative,7.21,2.13,3.72,4.94,0.6,20,45,15,5,15,3.3,9.41,14.04,0.19
2023-03-15,Aggressive,11.95,2.25,5.1,3.05,1.06,50,15,15,15,5,7.59,9.22,13.21,0.66
2023-03-18,Income,10.15,4.59,3.78,5.53,0.57,25,40,20,5,10,5.46,2.82,3.76,1.4
2023-03-21,Growth,8.83,3.05,4.37,5.53,0.67,45,20,20,10,5,6.04,6.3,8.1,0.72
2023-03-24,Income,8.84,3.83,3.23,3.37,1.4,25,40,20,5,10,4.7,2.08,2.68,1.54
2023-03-27,Balanced,12.21,4.17,4.45,1.72,1.25,40,30,15,10,5,7.04,6.31,7.82,0.88
2023-03-30,Income,11.44,3.25,7.17,5.84,0.61,25,40,20,5,10,5.95,10.62,12.88,0.42
2023-04-02,Aggressive,8.52,1.77,4.57,3.58,1.11,50,15,15,15,5,5.8,8.4,10.81,0.51
2023-04-05,Growth,3.25,2.64,7.01,4.71,1.75,45,20,20,10,5,3.95,11.2,13.74,0.22
2023-04-08,Aggressive,5.92,3.56,5.62,3.37,0.97,50,15,15,15,5,4.89,5.4,7.02,0.63
2023-04-11,Balanced,3.92,3.72,5.65,2.16,1.66,40,30,15,10,5,3.83,5.51,8.2,0.42
2023-04-14,Balanced,5.84,2.01,3.99,4.61,1.64,40,30,15,10,5,4.08,8.56,10.73,0.3
2023-04-17,Growth,8.57,3.47,5.9,5.09,1.82,45,20,20,10,5,6.33,8.43,12.61,0.57
2023-04-20,Conservative,13.37,3.7,3.75,1.41,1.16,20,45,15,5,15,5.15,5.03,6.45,0.73
2023-04-23,Aggressive,7.22,1.76,5.31,1.23,1.05,50,15,15,15,5,4.91,4.87,6.79,0.7
2023-04-26,Aggressive,10.38,3.27,5.31,4.33,1.69,50,15,15,15,5,7.21,10.96,14.63,0.52
2023-04-29,Income,10.82,2.63,5.38,1.91,0.59,25,40,20,5,10,4.99,3.04,4.47,1.15
2023-05-02,Conservative,14.79,1.8,6.23,1.23,1.56,20,45,15,5,15,5.0,11.91,16.16,0.29
2023-05-05,Income,4.9,2.8,4.41,3.45,1.01,25,40,20,5,10,3.5,7.98,11.47,0.25
2023-05-08,Conservative,3.79,1.83,6.39,2.7,1.59,20,45,15,5,15,2.91,8.57,12.61,0.16
2023-05-11,Balanced,7.0,3.54,3.71,3.1,1.95,40,30,15,10,5,4.83,8.98,11.83,0.37
2023-05-14,Income,11.51,1.8,5.79,4.86,0.99,25,40,20,5,10,5.1,3.28,4.63,1.1
2023-05-17,Income,4.12,3.85,5.54,1.11,0.96,25,40,20,5,10,3.83,11.51,14.99,0.2
2023-05-20,Growth,5.3,5.0,3.77,2.77,1.68,45,20,20,10,5,4.5,7.08,9.64,0.42
2023-05-23,Income,3.45,2.68,6.83,1.79,1.07,25,40,20,5,10,3.5,3.62,5.25,0.55
2023-05-26,Income,12.71,2.08,5.19,3.47,1.51,25,40,20,5,10,5.37,4.38,5.84,0.88
2023-05-29,Conservative,12.03,4.24,4.17,2.44,1.95,20,45,15,5,15,5.35,9.84,14.48,0.39
2023-06-01,Balanced,7.41,4.81,7.92,3.77,0.92,40,30,15,10,5,6.02,5.82,7.9,0.78
2023-06-04,Balanced,12.8,4.3,3.69,2.5,1.46,40,30,15,10,5,7.29,10.74,14.67,0.54
2023-06-07,Aggressive,11.54,3.31,3.62,1.5,0.74,50,15,15,15,5,7.07,6.49,8.79,0.86
2023-06-10,Growth,4.1,4.69,7.08,6.31,1.9,45,20,20,10,5,4.92,6.15,8.11,0.56
2023-06-13,Conservative,5.83,4.98,4.87,1.17,1.9,20,45,15,5,15,4.48,10.39,14.49,0.29
2023-06-16,Balanced,4.65,2.5,7.15,5.18,0.71,40,30,15,10,5,4.24,9.06,12.09,0.3
2023-06-19,Aggressive,13.87,1.57,4.08,1.9,1.91,50,15,15,15,5,8.16,8.09,10.74,0.82
2023-06-22,Conservative,5.85,1.93,4.19,4.83,1.43,20,45,15,5,15,3.12,2.63,3.82,0.62
2023-06-25,Growth,10.16,1.56,5.58,2.45,0.72,45,20,20,10,5,6.28,6.29,8.71,0.76
2023-06-28,Balanced,9.85,2.16,6.34,4.14,1.04,40,30,15,10,5,6.0,11.53,15.72,0.39
2023-07-01,Income,9.65,2.87,5.35,4.81,1.97,25,40,20,5,10,5.07,4.54,5.47,0.79
2023-07-04,Aggressive,7.14,4.07,6.14,5.63,1.6,50,15,15,15,5,6.03,5.33,6.47,0.85
2023-07-07,Income,7.06,3.75,7.15,5.11,1.97,25,40,20,5,10,5.15,6.79,8.52,0.54
2023-07-10,Balanced,3.76,4.22,5.29,2.76,0.57,40,30,15,10,5,3.87,3.99,4.84,0.59
2023-07-13,Conservative,9.18,4.96,5.72,2.52,1.63,20,45,15,5,15,5.3,3.91,5.11,0.97
2023-07-16,Aggressive,13.39,2.66,3.62,3.21,1.83,50,15,15,15,5,8.21,9.43,13.85,0.71
2023-07-19,Growth,7.07,2.15,6.46,3.2,1.7,45,20,20,10,5,5.31,4.67,5.72,0.82
2023-07-22,Growth,3.95,3.61,7.11,4.27,0.98,45,20,20,10,5,4.4,2.8,3.92,1.04
2023-07-25,Conservative,8.35,4.01,3.83,3.66,1.17,20,45,15,5,15,4.41,9.27,13.66,0.31
2023-07-28,Income,14.98,2.46,7.9,6.69,0.61,25,40,20,5,10,6.7,8.38,10.97,0.62
2023-07-31,Balanced,14.43,2.0,6.04,5.69,0.55,40,30,15,10,5,7.87,2.67,3.83,2.39
2023-08-03,Conservative,7.35,4.82,3.16,1.92,1.17,20,45,15,5,15,4.38,5.71,7.61,0.5
2023-08-06,Aggressive,9.89,3.35,4.99,4.9,0.87,50,15,15,15,5,6.97,3.13,4.45,1.75
2023-08-09,Growth,9.21,4.7,3.59,5.65,1.56,45,20,20,10,5,6.45,4.15,5.74,1.19
2023-08-12,Growth,5.4,1.98,3.37,2.04,1.57,45,20,20,10,5,3.78,11.97,17.27,0.19
2023-08-15,Conservative,11.01,3.98,5.75,2.74,0.95,20,45,15,5,15,5.13,3.58,5.06,1.01
2023-08-18,Balanced,12.52,3.28,3.61,2.21,0.71,40,30,15,10,5,6.79,9.9,11.96,0.53
2023-08-21,Income,9.87,3.14,7.92,1.78,1.83,25,40,20,5,10,5.58,2.66,3.51,1.53
